EntryDate,EntryTime,EntryPrice,Type,ExitDate,ExitTime,ExitPrice,Symbol,Pnl
26-04-2017,09:30:00,47.75,Sell,26-04-2017,15:15:00,22.05,22000PE,642.5
26-04-2017,09:32:00,108,Buy,26-04-2017,14:13:00,108,22100CE,0
26-04-2017,14:31:00,49.9,Sell,26-04-2017,15:01:00,64.85,22200CE,-373.75
27-04-2017,09:30:00,53.2,Sell,27-04-2017,10:58:00,69.15,22200CE,-398.75
27-04-2017,09:30:00,55.8,Sell,27-04-2017,15:15:00,0.2,22200PE,1390
27-04-2017,10:42:00,61.2,Buy,27-04-2017,11:45:00,73.35,22200CE,303.75
27-04-2017,10:09:00,64.15,Buy,27-04-2017,10:18:00,51.3,22200PE,-321.25
28-04-2017,09:30:00,54,Sell,28-04-2017,13:32:00,70.2,22400CE,-405
28-04-2017,09:30:00,42.55,Sell,28-04-2017,15:15:00,17.45,21900PE,627.5
28-04-2017,09:34:00,99.9,Buy,28-04-2017,10:13:00,79.9,22300CE,-500
02-05-2017,09:30:00,33,Sell,02-05-2017,15:15:00,21.5,22600CE,287.5
02-05-2017,09:30:00,42,Sell,02-05-2017,10:45:00,54.6,22200PE,-315
02-05-2017,09:33:00,72.45,Buy,02-05-2017,10:23:00,57.95,22500CE,-362.5
02-05-2017,10:42:00,75.55,Buy,02-05-2017,12:37:00,83.1,22300PE,188.75
03-05-2017,09:30:00,40.5,Sell,03-05-2017,15:15:00,18.1,22500CE,560
03-05-2017,09:30:00,44.9,Sell,03-05-2017,09:47:00,58.35,22200PE,-336.25
03-05-2017,09:37:00,86.3,Buy,03-05-2017,11:52:00,77.7,22300PE,-215
03-05-2017,11:52:00,44.9,Sell,03-05-2017,12:35:00,58.35,22200PE,-336.25
04-05-2017,09:30:00,47.8,Sell,04-05-2017,09:42:00,62.15,22500CE,-358.75
04-05-2017,09:30:00,53.4,Sell,04-05-2017,15:15:00,0.05,22500PE,1333.75
04-05-2017,09:41:00,121.4,Buy,04-05-2017,15:15:00,289.55,22400CE,4203.75
05-05-2017,09:30:00,40.95,Sell,05-05-2017,11:23:00,53.25,23000CE,-307.5
